512 

ԱՆՎԱՆԱՑԱՆԿ 

Biochet  68 
Biuraspi  162 
Biwraspi  162 
Blanc  161 
Blochet  65 
Boyce  145 
Braginskiï  161 
Brentjes  295 
Brockelmann  297 
Brocklemann  297 
Brown  114 
Caire  295 
Calcutta  296 
California  4 
Californie  292 
Carminati  463 
Caucase  164, 293 
Chalathianz  141, 153, 156, 160, 163 
Charles  65, 67 
Chorenaçi  351 
Cilicie  294, 299, 300, 304 
Clavijo  294 
Columelle  297 
Comnène  294 
Connecticut  407 
Constantin  295 
Conybeare  488 
Cronide  161 
Dabavand  160, 161, 162 
Daschian  164 
David  160 
Davitian  4 
Dāwūd  295 
Demavend  161 
Diuheh  161 
Diuro  161 
Diuzeh  160, 161 
Djina  298, 301, 302 
Dubīh  161 
Dum-Tragut  10 
Edessa  353 

Edward  114 
Eganyan  299 
Elisäus  354 
Eliše  162 
Emin  161, 162, 163 
Ep‘rem  298 
Eranshahr  125 
Erévan  160, 161, 162, 292, 293, 297, 299, 300, 

304, 305 

Erevan  164, 294 
Europa  348 
Europe  295, 465, 487 
Ezéchiel  293 
Faradj  298, 299, 300, 301, 302, 303, 304 
Faramurz  161 
Firdawsi  114 
Firdousi  160, 161 
Firdusi  160 
Fison  163, 164, 165 
Franciscus  374 
Fransen  353 
Frédéric  465 
Frēdūn  120 
Gagik-Het‘umyan  304 
Galianosi  304 
Galien  304 
Gandja  163 
Gange  164, 165 
Gełam  163 
Gełark‘unik‘  163 
Gênois  294 
Georg  10, 299 
Géorgie  164, 292, 299 
Göl-Yurt  163 
Gonzalez  294 
Gotha  280 
Grebnev  349 
Grèce  295 
Grégoire  153, 160 
Gregor  141
