536 

ԱՆՎԱՆԱՑԱՆԿ 

Ղազարեան  3, 340, 471 
Ղազարյան  508 
Ղազարոս  448, 451, 462 
Ղազբին  344 
Ղազի  502 
Ղազիկյանը  427 
Ղազիկյան  171 
Ղազինեանի  3 
Ղազվին  406, 408 
Ղաթաթ  505 
Ղալաթիա  60, 62, 307, 310 
Ղալիյեա  401 
Ղայիթ  462 
Ղայսէրի  484 
Ղարաբաղ  30, 237 
Ղարադաղի  39 
Ղարամանի  470 
Ղարամուրատու  468, 469 
Ղարասար  491, 492 
Ղարասարցի  491 
Ղարս  498, 510 
Ղափան  471,489 
Ղափանցյան  149, 157, 164 
Ղևոնդ  15, 60, 112, 307, 418, 427 
Ղովսիի  369, 404 
Ղուզիկն  504 
Ղուլին  469 
Ղուկաս  315, 373, 424, 431, 439, 444, 445, 446, 
447, 448, 450, 451, 458, 460, 463, 467, 471, 478, 
491, 494, 495, 497, 498, 499, 501 

Ղրիմ  343, 344, 442, 443, 483 
Ղրիմեցի  343 
Ճգնավորյան   489 
Ճեմճեմեան  309, 311, 314, 315 
Ճընայ  275, 277 
Ճիհանկիյր  70 
Ճնա  280, 284, 285 
Ճոհար  36 
Ճոն  286 
Մագիստրոս   7,  8,  18,  38,  134,  140,  141,  142, 
143, 144, 146, 147, 148, 149, 150, 151, 152, 154, 

157, 161, 164, 166, 167, 168, 169, 171, 172, 173, 
265, 266, 267, 268, 269, 270, 272, 273, 313, 356 

Մագսուտյան  483 
Մադես  118, 119 
Մազանդարան  142 
Մազդակ  116, 120, 124, 125, 126, 131 
Մազենդարան  143 
Մազլում  457 
Մաթէոս  495 
Մալիք-շահ  319 
Մալխասեան  136, 137 
Մալխասեանց  28, 42, 146, 151 
Մալխասյան  15, 16, 17, 29, 118, 122, 123, 126, 

147, 400, 401, 402, 403, 418, 419, 421 

Մակլեր  419, 465 
Մահեն  384 
Մահլինդադի  125 
Մահմետ  439 
Մահմուդ  406, 407, 408 
Մահրիխանին  471, 475 
Մահրուբի  280 
Մաղաքիա  442, 443, 476, 497 
Մամաքան  445 
Մամիկոն  508 
Մամիկոնյան  147, 150 
Մամխաթունին  440 
Մայեկաց  461 
Մայքլ  489 
Մանազկերտի  150 
Մանասին  464 
Մանգասարեան-Գոշինը  3 
Մանուէլ  435, 493, 494 
Մանուիէլի  435 
Մանուկեանի  5, 314 
Մանուկ  452 
Մանուկյան  60, 62, 478 
Մանուշակ  459 
Մանուչե  266, 318 
Մանուչեհր  318 
Մանուչէհր  138 
Մանչեստր  487, 488, 494
