ԱՆՎԱՆԱՑԱՆԿ 

541 

Շահրստանին  459 
Շահփարին  457 
Շաղոսկի  500, 503, 504 
Շամախի  366, 368, 371, 378, 415 
Շամիխան  498 
Շամլյան  491 
Շապան  470 
Շապուհ  134, 135 
Շավասպ  16 
Շավարշ  173 
Շավրավա  505 
Շարուրեան  11, 315 
Շաւասպ  14 
Շաւարշ  173 
Շաւշ  502 
Շաֆաղ  185 
Շաֆի  240 
Շեխինց  437 
Շեկո  3, 448 
Շեկոյեան  3 
Շեմակաց  15, 16 
Շերեֆեդդին  77 
Շիյրին  77 
Շիպյակ  148 
Շիրազ  67, 77, 206, 240, 267, 344 
Շիրակ  118, 316, 502 
Շիրակացի  118 
Շիրին  38, 52, 77, 134, 151, 240, 481 
Շիրմազան  275 
Շիրվան  179, 180, 226 
Շիւուր  70 
Շլիսելբուրգ  412, 413 
Շխիեանց  437 
Շմայոն  494 
Շնաթաղ  471 
Շնաւոր  457 
Շնոհֆոր  439 
նորհալի  110, 184, 499, 508 
Շուշան  319, 446, 464,    
Շուշի  117 
Շտաքելբերգ  120, 123, 129 

Շտեյնգաս  14, 82 
Ոդիսևս  117 
Ողիւմպ  133 
Ոսկան  373, 374, 469, 470 
Ոսկի  56, 445, 462, 472 
Ոսկինարին  462 
Ոսկյան  344, 361, 364, 365, 404, 499, 506 
Ովանէսն  469, 470 
Ովաննէս  479 
Որմզդեան  134 
Որմիզդ  151 
Որոտնեցի  451 
Ուադհամ  487 
Ուակեր  489 
Ուաշիկթըն  286 
Ուելս  488, 491 
Ուեսթ-Հարթֆորդ  454 
Ուզբեկստան  80 
Ուիլիամ  488 
Ուլուբաբ  504 
Ուլուխան  469 
Ուլուհոճյան  454 
Ուլուղան  436 
Ուլուպէկ  469 
Ունսի-Զադե  237 
Ուոլտեր  487 
Ուռհայեցի  166, 269, 356 
Ուսէփ  372 
Ուսուֆ   277, 284 
Ուստիան  478 
Ուրարտու  275 
Չալապիզատա  433 
Չամչեան  309 
Չամչյան  356,421, 427 
Չարբաղ  505 
Չարենց  6, 110, 171 
Չարթալ  505 
Չարլզ  489 
Չարխափան  442 
Չափանօղլի  357 
Չեխոսլովակիա  488
