ԱՆՎԱՆԱՑԱՆԿ 

547 

Տիրոյան  418 
Տիւզեան  60, 63, 312 
Տիքրանակերտ  448 
Տյուզյան  60, 61, 62, 71, 307 
Տվեն  111 
Տրթատ  495 
Տփխիս  114, 128 
Տփղիս  15, 133, 144, 491 
Տօնապետ  453 
Րայիսա  122 
Րաֆֆի   233, 234, 235, 236, 237, 238, 239, 240 
Ցաղեցի  446 
Ցաղնեցի  446 
Փայաջուկ  234 
Փանոս  446, 452, 457 
Փաշազատէ  70 
Փաշախաթուն   453 
Փաշաջան  461, 462, 503, 504 
Փառական  15, 16, 17, 18 
Փառայ  18 
Փառանձեմ  129, 130 
Փառնակ  173 
Փառնոս  118, 119 
Փառոս  173 
Փավլօ   378 
Փավստոս  14, 15, 16, 130, 145 
Փարակեցի  345 
Փարիզ  65, 68, 136, 153, 157, 180, 236, 275, 282, 

368, 374, 416, 433, 460, 465, 497, 508 

Փարհա  505 
Փարպեցու  45 
Փաւոս  173 
Փաւստոս  129, 130 
Փափազեան  441 
Փափազյան  175, 225, 226, 229, 440, 441 
Փերիա   505 
Փընկո  433 
Փիըսըն  487 
Փիլիպոս  470 
Փիլիպպոս  467, 479, 480,   
Փիլոսեանը  4 

Փիշդադյան  117 
Փիսովն  148, 149, 150, 151, 152 
Փիրղալամ  446 
Փիրղալեմյան  358 
Փիրոմալի  373 
Փիրում   444 
Փուշմաններ  445, 458, 460, 467 
Փոքոկի  486 
Փռուչինսքի  378 
Փրչոդան  505 
Քաբիրի  176, 179, 181 
Քադաք  503 
Քաթաք  500, 503 
Քանհան  201 
Քաշաթաղ  2, 3 
Քաշան  175, 176, 179, 181, 182, 344 
Քաշիշ  461 
Քաջբերունի  450 
Քասպար  447 
Քարահատ  467, 468, 489 
Քարթլի  122 
Քարիմ  411 
Քեազազ  506 
Քեմբրիջ  487 
Քեմճակ  442, 443 
Քերիմ  331, 344 
Քէմալ  70, 74 
Քըննեթիքեթ  454 
Քիլիս  479, 480, 481 
Քիշավէրդ  77 
Քլիվլենդ  278 
Քլիվլենտ  286 
Քլիֆոն  438 
Քյոր-օղլու  369 
Քյորօղլու  404 
Քյուրքչյան  488, 490, 495, 496, 499 
Քորփուս  487 
Քունսոր  505 
Քուրթ  371 
Քսենոփոն  285 
Քսենոֆոն  123
